0,1,3,4
"(In millions, except percentages)",2023,2022,Percentage Change
Revenue,,,
Productivity and Business Processes,"$ 69,274","$ 63,364",9%
Intelligent Cloud,87907,74965,17%
More Personal Computing,54734,59941,(9)%
Total,"$ 211,915","$ 198,270",7%
Operating Income,,,
Productivity and Business Processes,"$ 34,189","$ 29,690",15%
Intelligent Cloud,37884,33203,14%
More Personal Computing,16450,20490,(20)%
Total,"$ 88,523","$ 83,383",6%
