0,1,2,3,4,5,6,7,8,9,10,11
(In millions),Shares,,Amount,,Shares,,Amount,,Shares,,Amount
"Year Ended June 30,",2023,2023.0,2023,2022.0,2022,2022.0,2022,2021.0,2021,2021.0,2021
First Quarter,17,,"$ 4,600",,21,,"$ 6,200",,25,,"$ 5,270"
Second Quarter,20,,4600,,20,,6233,,27,,5750
Third Quarter,18,,4600,,26,,7800,,25,,5750
Fourth Quarter,14,,4600,,28,,7800,,24,,6200
Total,69,,"$ 18,400",,95,,"$ 28,033",,101,,"$ 22,970"
