0,1,3,5,7,9,11
,6/18,6/19,6/20,6/21,6/22,6/23
Microsoft Corporation,100.00,138.07,212.34,285.40,272.82,365.24
S&P 500,100.00,110.42,118.70,167.13,149.39,178.66
NASDAQ Computer,100.00,106.10,156.93,236.08,184.53,242.82
