0,2,3,5,6
(In millions),Amount,Weighted Average Life,Amount,Weighted Average Life
"Year Ended June 30,",2023,,2022,
Technology-based,$ 522,7 years,"$ 2,611",4 years
Customer-related,0,0 years,2837,9 years
Marketing-related,7,5 years,233,4 years
Contract-based,12,3 years,0,0 years
Total,$ 541,6 years,"$ 5,681",7 years
