0,1,3,5
(In millions),,,
"Year Ended June 30,",2023,2022,2021
U.S.,"$ 52,917","$ 47,837","$ 34,972"
Foreign,36394,35879,36130
Income before income taxes,"$ 89,311","$ 83,716","$ 71,102"
