0,1,3,5
(In millions),,,
"Year Ended June 30,",2023,2022,2021
United States (a),"$ 106,744","$ 100,218","$ 83,953"
Other countries,105171,98052,84135
Total,"$ 211,915","$ 198,270","$ 168,088"
