0,1,3
(In millions),Adjusted Cost Basis,Estimated Fair Value
"June 30, 2023",,
Due in one year or less,"$ 38,182","$ 38,048"
Due after one year through five years,47127,44490
Due after five years through 10 years,13262,11628
Due after 10 years,1298,1166
Total,"$ 99,869","$ 95,332"
