0,1,3,5,7,9,11,13
(In millions),"June 30, 2021",Acquisitions,Other,"June 30, 2022",Acquisitions,Other,"June 30, 2023"
Productivity and Business Processes,"$ 24,317",$ 599,$ (105),"$ 24,811",$ 11,$ (47),"$ 24,775"
Intelligent Cloud,13256,16879,47,30182,223,64,30469
More Personal Computing,12138,648,(255),12531,0,111,12642
Total,"$ 49,711","$ 18,126",$ (313),"$ 67,524",$ 234,$ 128,"$ 67,886"
