0,1
Windows OEM revenue growth,Revenue from sales of Windows Pro and non-Pro licenses sold through the OEM channel
Windows Commercial products and cloud services revenue growth,"Revenue from Windows Commercial products and cloud services, comprising volume licensing of the Windows operating system, Windows cloud services, and other Windows commercial offerings"
Devices revenue growth,"Revenue from Devices, including Surface, HoloLens, and PC accessories"
Xbox content and services revenue growth,"Revenue from Xbox content and services, comprising first- and third-party content (including games and in-game content), Xbox Game Pass and other subscriptions, Xbox Cloud Gaming, advertising, third-party disc royalties, and other cloud services"
Search and news advertising revenue (ex TAC) growth,Revenue from search and news advertising excluding traffic acquisition costs (âTACâ) paid to Bing Ads network publishers and news partners
