0,1,3,5,7,9,11
(In millions),Shares,Amount,Shares,Amount,Shares,Amount
"Year Ended June 30,",,2023,,2022,,2021
First Quarter,17,"$ 4,600",21,"$ 6,200",25,"$ 5,270"
Second Quarter,20,4600,20,6233,27,5750
Third Quarter,18,4600,26,7800,25,5750
Fourth Quarter,14,4600,28,7800,24,6200
Total,69,"$ 18,400",95,"$ 28,033",101,"$ 22,970"
