0,1,2,3,4,5,6,7
(In millions),Level 1,,Level 2,,Level 3,,Total
"June 30, 2023","June 30, 2023","June 30, 2023","June 30, 2023","June 30, 2023","June 30, 2023","June 30, 2023","June 30, 2023"
Derivative assets,$ 0,,$ 462,,$ 7,,$ 469
Derivative liabilities,0,,(805),,0,,(805)
"June 30, 2022","June 30, 2022","June 30, 2022","June 30, 2022","June 30, 2022","June 30, 2022","June 30, 2022","June 30, 2022"
Derivative assets,1,,349,,6,,356
Derivative liabilities,0,,(551),,0,,(551)
