0,1,3
(In millions),Adjusted Cost Basis,Estimated Fair Value
"June 30, 2024",,
Due in one year or less,"$ 19,815","$ 19,596"
Due after one year through five years,38954,36779
Due after five years through 10 years,8028,7242
Due after 10 years,1412,1282
Total,"$ 68,209","$ 64,899"
