0,1,2,3
"(In millions, except percentages and per share amounts)",2024,2023,Percentage Change
Revenue,"$ 245,122","$ 211,915",16%
Gross margin,171008,146052,17%
Operating income,109433,88523,24%
Net income,88136,72361,22%
Diluted earnings per share,11.80,9.68,22%
Adjusted gross margin (non-GAAP),171008,146204,17%
Adjusted operating income (non-GAAP),109433,89694,22%
Adjusted net income (non-GAAP),88136,73307,20%
Adjusted diluted earnings per share (non-GAAP),11.80,9.81,20%
