0,1,3
(In millions),"June 30, 2023","June 30, 2022"
Designated as Hedging Instruments,,
Foreign exchange contracts purchased,"$ 1,492",$ 635
Interest rate contracts purchased,1078,1139
Not Designated as Hedging Instruments,,
Foreign exchange contracts purchased,7874,10322
Foreign exchange contracts sold,25159,21606
Equity contracts purchased,3867,1131
Equity contracts sold,2154,0
Other contracts purchased,1224,1642
Other contracts sold,581,544
