0,1,3
(In millions),,
"Year Ending June 30,",Operating Leases,Finance Leases
2024,"$ 2,784","$ 1,747"
2025,2508,2087
2026,2142,1771
2027,1757,1780
2028,1582,1787
Thereafter,6327,11462
Total lease payments,17100,20634
Less imputed interest,"(1,963)","(3,567)"
Total,"$ 15,137","$ 17,067"
