0,1,3,5
(In millions),,,
"Year Ended June 30,",2023,2022,2021
"Balance, beginning of year",7464,7519,7571
Issued,37,40,49
Repurchased,(69),(95),(101)
"Balance, end of year",7432,7464,7519
