0,1,3,5
(In millions),,,
"Year Ended June 30,",2023,2022,2021
Beginning unrecognized tax benefits,"$ 15,593","$ 14,550","$ 13,792"
Decreases related to settlements,(329),(317),(195)
Increases for tax positions related to the current year,1051,1145,790
Increases for tax positions related to prior years,870,461,461
Decreases for tax positions related to prior years,(60),(246),(297)
Decreases due to lapsed statutes of limitations,(5),0,(1)
Ending unrecognized tax benefits,"$ 17,120","$ 15,593","$ 14,550"
