0,1,3,4
"(In millions, except percentages)",2024,2023,Percentage Change
Revenue,,,
Productivity and Business Processes,"$ 77,728","$ 69,274",12%
Intelligent Cloud,105362,87907,20%
More Personal Computing,62032,54734,13%
Total,"$ 245,122","$ 211,915",16%
Operating Income,,,
Productivity and Business Processes,"$ 40,540","$ 34,189",19%
Intelligent Cloud,49584,37884,31%
More Personal Computing,19309,16450,17%
Total,"$ 109,433","$ 88,523",24%
