0,1,3,5
(In millions),2025,Thereafter,Total
Long-term debt: (a),,,
Principal payments,"$ 2,250","$ 48,971","$ 51,221"
Interest payments,1618,27041,28659
Construction commitments (b),29892,5499,35391
"Operating and finance leases, including imputed interest (c)",12250,160475,172725
Purchase commitments (d),68280,3742,72022
Total,"$ 114,290","$ 245,728","$ 360,018"
