0,1,3,5
(In millions),,,
"Year Ended June 30,",2024,2023,2022
U.S.,"$ 62,886","$ 52,917","$ 47,837"
Foreign,44901,36394,35879
Income before income taxes,"$ 107,787","$ 89,311","$ 83,716"
