0,1,3,5
(In millions),,,
"Year Ended June 30,",2024,2023,2022
United States (a),"$ 124,704","$ 106,744","$ 100,218"
Other countries,120418,105171,98052
Total,"$ 245,122","$ 211,915","$ 198,270"
