0,1,3,5
(In millions),,,
"Year Ended June 30,",2024,2023,2022
Revenue,,,
Productivity and Business Processes,"$ 77,728","$ 69,274","$ 63,364"
Intelligent Cloud,105362,87907,74965
More Personal Computing,62032,54734,59941
Total,"$ 245,122","$ 211,915","$ 198,270"
Operating Income,,,
Productivity and Business Processes,"$ 40,540","$ 34,189","$ 29,690"
Intelligent Cloud,49584,37884,33203
More Personal Computing,19309,16450,20490
Total,"$ 109,433","$ 88,523","$ 83,383"
