0,1,3
(In millions),,
"June 30,",2024,2023
Productivity and Business Processes,"$ 30,879","$ 27,572"
Intelligent Cloud,23117,21563
More Personal Computing,6188,4678
Total,"$ 60,184","$ 53,813"
