0,1,3,5,7,9,11
,6/19,6/20,6/21,6/22,6/23,6/24
Microsoft Corporation,100.00,153.80,206.72,197.60,264.54,349.91
S&P 500,100.00,107.51,151.36,135.29,161.80,201.54
NASDAQ Computer,100.00,147.90,222.50,173.91,228.85,331.25
