0,1
Commercial remaining performance obligation,"Commercial portion of revenue allocated to remaining performance obligations, which includes unearned revenue and amounts that will be invoiced and recognized as revenue in future periods"
Microsoft Cloud revenue and revenue growth,"Revenue from Azure and other cloud services, Office 365 Commercial, the commercial portion of LinkedIn, Dynamics 365, and other commercial cloud properties"
Microsoft Cloud gross margin percentage,Gross margin percentage for our Microsoft Cloud business
